Branch,Weather Event,Named Storm,Date of Weather Event,Year,Appropriation,Line Item/SAG,Line Item/SAG title,Details of Expense,Installation,State,Cost
USA,Winter Storm,,12/18/23,2023,OMA,132,FSRM,Exchange and Theater building damage; Electrical Pole Replacement ,Fort Hamilton,New York,600000
USA,Hail,,1/8/24,2024,OMA,132,FSRM,Roof Damage and Uprooted Trees,Fort Bliss,Texas,16885200
USA,Winter Storm,,1/8/24,2024,OMA,132,FSRM,Winter Storm,Fort Cavazos,Texas,4261566
USA,Winter Storm,,1/8/24,2024,OMA,132,FSRM,Winter Storm,Fort Riley,Kansas,6106939
USA,Wildfire,,1/8/24,2024,OMA,132,FSRM,Fire Damage,Fort Liberty,NC,800000
USA,Winter Storm,,1/11/24,2024,OMA,132,FSRM,"Yakima, Multiple buildings",JBLM,WA,
USA,Winter Storm,,1/15/24,2024,OMA,132,FSRM,Real property facilities (35) affected from freezing temperature,Leavenworth,Kansas,18797000
USA,Winter Storm,,1/15/24,2024,OMA,131,FSRM,Emergency clean up,Leavenworth,Kansas,100000
USA,High Surf,,1/21/24,2024,RDT&E,DW7,QRPA,Roi-Namur Island,Kwajalein,Kwaj,69771445
USA,Heavy Rain,,2/4/24,2024,OMA,132,FSRM,Power outages,Presidio of Monterey,California,
USA,Thunderstorm Wind,,4/2/24,2024,OMA,132,FSRM,"Roof and window damages, Numerous downed power lines, trees",Fort Leonardwood,Missouri,
USA,Strong Wind,,4/15/24,2024,OMA,132,FSRM,"Wind storm:  Multiple bldgs, roof repairs, gutters, fascia",Fort Riley,Kansas,182700
USA,Strong Wind,,4/17/24,2024,OMA,132,FSRM,"Wind storm:  Multiple bldgs, roof repairs, gutters, fascia",Fort Leavenworth,Kansas,276300
USA,Tornado,,5/5/24,2024,OMA,132,FSRM,"Strong winds, 16 bldgs affected, roof repairs, gutters, downspouts, HVAC",Fort Cavazos,Texas,9428618
USA,Tornado,,5/5/24,2024,OMA,121,Unk,"Strong winds, Damage to range structures",Fort Cavazos,Texas,1031000
USA,Hurricane (Typhoon),Debby,8/2/24,2024,OMA,132,FSRM,Flooding,Fort Liberty,NC,
USA,Hurricane (Typhoon),Debby,8/2/24,2024,OMA,132,FSRM,"Tank trails,ranges and bridges",Fort Stewart,Georgia,338300
USA,Hail,,8/1/24,2024,OMA,132,FSRM,Hanger hail damage ,Fort Carson,CO,82000000
USA,Tropical Storm,Cyclone #8,9/1/24,2024,OMA,132,FSRM,"Bldg 12 (OMA) - Flooding of 1st Floor to ceiling.  Repair/replace electrical system, HVAC components, Fire Alarm system, other internal facility components",MOT Sunny Point,NC,3000000
USA,Tropical Storm,Cyclone #8,9/16/24,2024,OMA,132,FSRM,Emergency Brunswick Road - Repair road - road undermined for MISSION ESSENTIAL REPAIR,Military Ocean Terminal Sunny Point,NC,1327763
USA,Tropical Storm,Cyclone #8,9/16/24,2024,OMA,132,FSRM,Emergency Perimeter Road and Security Fencing - FY24 repairs secure perimeter fence and fix 5 areas on road to allow vehical passage. TERMINAL SECURITY REPAIR,Military Ocean Terminal Sunny Point,NC,3750000
